Group,Filename,Fuelbed_number,Fuelbed_name,Benchmark_ROS,Benchmark_FL,Benchmark_RI,Benchmark_RI_Shrub,Benchmark_RI_Herb,Benchmark_RI_Wood,Benchmark_RI_LLM,Crosswalk13,ROS%13,FL%13,Crosswalk40,ROS%40,FL%40,Custom_ROS,Custom_FL,Custom_RI,Custom_RI_Shrub,Custom_RI_Herb,Custom_RI_Wood,Custom_RI_LLM,Custom_Crosswalk13,Custom_ROS%13,Custom_FL%13,Custom_Crosswalk40,Custom_ROS%40,Custom_FL%40,FCC_Code,Surface_fire_potential,Reaction_potential,Spread_potential,Flamelength_potential,Crown_fire_potential,Crown_initiation_potential,Crown-crown_trans_potential,Crownfire_spread_potential,Available_fuel_potential,Flame_available_potential,Smolder_available_potential,Residual_smolder_potential,Depth_shrub,Depth_herb,Depth_woody,Depth_LLM,Depth_surface_fuels,PercentCover_shrub,PercentCover_herb,PercentCover_woody,PercentCover_LLM,Tree_over_crown_load,Tree_mid_crown_load,Tree_under_crown_load,Tree_aboveground_load,Snag_class1_foliage_load,Snag_class1_wood_load,Snag_class1_other_load,Snag_class2_load,Snag_class3_load,Ladderfuels_load,Shrub_primary_load,Shrub_primary_crown_load,Shrub_secondary_load,Shrub_secondary_crown_load,Shrub_needleDrape_load,Herb_primary_load,Herb_secondary_load,Woody_sound_1hr_load,Woody_sound_10hr_load,Woody_sound_100hr_load,Woody_sound_1000hr_load,Woody_sound_10khr_load,Woody_sound_GT10k_load,Woody_rotten_1000hr_load,Woody_rotten_10k_load,Woody_rotten_GT10k_load,Woody_pile_load,Woody_stumps_sound_load,Woody_stumps_rotten_load,Woody_stumps_lightered_load,LLM_litter_load,LLM_lichen_load,LLM_moss_load,Ground_upperduff_load,Ground_lowerduff_load,Ground_basalaccum_load,Ground_squirrelmid_load,Total_aboveground_biomass,Total_carbon_load,Version
1.2,fuelbed_41113.xml,41113,"Xeric upland 21-40 yr old longleaf pine forest, 1-3 yr mFRI",3.5153,1.2153,857.1327,86.0193,449.4342,10.237,311.4423,8,213.0469,121.5264,185,103.3904,63.9613,3.5153,1.0367,557.7423,71.3221,164.741,10.237,311.4423,8,213.0469,103.6744,184,185.0144,86.3953,441,3.7498,2.3421,3.7498,2.2048,3.7318,4.2795,4.7451,2.8456,0.6643,0.5952,0.009,0.0601,2,0.9,0.0667,0.0667,0.2269,5,60,10,50,2.4257,,0.3072,8.6958,,,,,,,0.5,0.2312,,,0,0.15,,0.03,0.16,0.08,0.15,0.3,0.3,0,0,0,,,,,0.1,,,,,,,10.4658,4.5885,3.0.257
1.2,fuelbed_31113.xml,31113,"Mesic upland 21-40 yr old longleaf pine forest, 1-3 yr mFRI",6.3994,2.8481,2765.7666,853.2032,1560.4298,40.6914,311.4423,9,93.833,113.9229,189,92.745,66.2343,2.4392,1.4786,1462.0122,707.426,402.4526,40.6914,311.4423,8,147.831,147.8647,161,106.0527,92.4154,521,5.0594,4.2072,5.0594,3.3752,2.1725,2.7785,0,2.2903,0.5289,0.4496,0.0137,0.0656,3.5,1,0.1917,0.0333,0.4472,15,35,5,55,0.9024,,,2.6329,,,,,,,2.5,1.175,,,0,0.4,,0.05,0.18,0.2,0.25,0.3,0.3,0,0,0,,,,,0.1,,,,,,,6.9129,2.1539,3.0.257
1.2,fuelbed_31114.xml,31114,"Mesic upland 41-60 yr old longleaf pine forest, 1-3 yr mFRI",6.336,3.2094,3514.7144,884.1219,1731.2781,95.5286,803.7858,9,92.9028,128.3753,189,91.8257,74.6368,6.336,2.7087,2078.8926,733.062,446.5163,95.5286,803.7858,9,92.9028,108.3492,188,137.7385,90.291,521,5.0343,4.7428,5.0343,3.583,1.8901,2.2564,0,2.1536,0.6462,0.5081,0.0239,0.1142,3.5,1,0.1917,0.05,0.4089,15,25,5,90,0.9692,,,5.3045,,,,,,,2.5,1.175,,,0,0.4,,0.07,0.3,0.3,0.5,0.5,0.5,0,0,0,,,,,0.25,,,,,,,10.6245,3.5647,3.0.257
1.2,fuelbed_31513.xml,31513,"Mesic upland 21-40 yr old  long-needle pine plantation, 1-3 yr mFRI",8.397,3.0516,2423.1309,624.8102,1529.2477,38.9984,230.0745,9,123.1238,122.0653,164,93.3005,62.2782,3.0195,1.5075,1181.5392,518.056,394.4103,38.9984,230.0745,8,183.0024,150.7497,186,68.6259,65.5434,621,5.7955,3.938,5.7955,3.4938,2.0591,2.3502,0,2.4541,0.501,0.4022,0.018,0.0807,2,1,0.1667,0.0333,0.4318,30,35,5,55,0.9703,,0.1811,7.9491,,,,,,,0.75,0.4875,,,0,0.4,,0.05,0.18,0.17,0.5,0.3,0.3,0,0,0,,,,,0.1,,,,,,,10.6991,4.4683,3.0.257
1.2,fuelbed_31514.xml,31514,"Mesic upland 21-40 yr old  long-needle pine plantation, 1-3 yr mFRI",5.6597,2.9652,3206.249,820.5566,1710.051,100.4552,575.1862,9,82.9868,118.6067,189,82.0247,68.9574,4.4083,2.1974,1797.0403,680.3573,441.0416,100.4552,575.1862,9,64.6372,87.8943,186,100.1876,95.5373,521,4.758,4.5299,4.758,3.4439,1.8131,1.987,0,2.2433,0.7642,0.6049,0.0297,0.1296,3,1,0.1667,0.05,0.5542,30,25,5,90,1.6172,,0.1725,40.9077,,,,,,,1,0.65,,,0,0.4,,0.07,0.3,0.35,0.75,0.5,0.5,0,0,0,,,,,0.25,,,,,,,45.0277,21.1039,3.0.257
1.2,fuelbed_41413.xml,41413,"Xeric upland 21-40 yr old long-needle pine late-stage herbicide application, 1-3 yr mFRI",7.9254,6.8313,12113.5322,245.7185,8867.8496,2297.3237,702.6401,12,67.9705,93.579,203,38.6603,86.4718,4.2021,4.4182,7321.502,203.7353,4117.8027,2297.3237,702.6401,10,56.1778,94.0033,162,46.1769,142.5212,632,5.6304,8.8049,5.6304,5.2273,2.7382,4.8583,0,1.5305,1.8423,1.1601,0.3087,0.3736,2,2,0.1833,0.0417,0.6843,5,80,50,65,0.2594,,,0.9171,,,,,,,0.5,0.2312,,,0,2,,2.17,1.02,3.5,2.75,1.38,1.38,,,,,,,,2,,,1.5,,,,19.1171,3.7742,3.0.257
1.2,fuelbed_41414.xml,41414,"Xeric upland 41-60 yr old long-needle pine late-stage herbicide application, 1-3 yr mFRI",9.0612,8.0376,13582.5938,254.4063,9129.5146,3496.0332,702.6401,13,63.8564,84.6065,202,79.4845,151.6531,5.0423,5.4684,8648.9199,210.9388,4239.3081,3496.0332,702.6401,10,67.4103,116.3489,165,69.0724,82.8545,632,6.0204,9,6.0204,5.6701,3.0539,5.2142,0,1.9111,2.2889,1.5628,0.2169,0.5091,2,2,0.1833,0.125,0.5999,5,80,65,65,0.5836,,,3.6356,,,,,,,0.5,0.2312,,,0,2,,2.97,1.4,4.8,3.75,1.88,1.88,,,,,,,,3,,,,,,,25.8156,4.4334,3.0.257
1.2,fuelbed_41513.xml,41513,"Xeric upland 21-40 yr old long-needle pine plantation, 1-3 yr mFRI",2.7334,1.026,775.7649,86.0193,449.4342,10.237,230.0745,8,165.662,102.5997,184,143.8644,85.4997,2.5745,0.8313,476.3745,71.3221,164.741,10.237,230.0745,8,156.0327,83.1256,183,198.0415,92.3617,341,3.3066,2.2282,3.3066,2.0258,3.587,3.9759,4.7451,2.8116,0.6643,0.5952,0.009,0.0601,2,0.9,0.0667,0.0667,0.2269,5,60,10,50,2.4257,,0.3072,11.5012,,,,,,,0.5,0.2312,,,0,0.15,,0.03,0.16,0.08,0.15,0.3,0.3,0,0,0,,,,,0.1,,,,,,,13.2712,5.9912,3.0.257
1.2,fuelbed_41514.xml,41514,"Xeric upland 41-60 yr old long-needle pine plantation, 1-3 yr mFRI",4.9116,2.1798,1638.6831,117.8362,667.5403,278.1204,575.1862,9,72.0179,87.1902,183,377.8168,242.1949,4.9116,2.0018,1195.6976,97.7029,244.6882,278.1204,575.1862,9,72.0179,80.0704,183,377.8168,222.4176,421,4.4324,3.2385,4.4324,2.9528,2.3232,2.246,4.7451,1.5926,0.6545,0.5347,0.0166,0.1032,2,0.9,0.0667,0.0667,0.1289,5,60,10,85,1.7465,,0.3072,47.6977,,,,,,,0.5,0.2312,,,0,0.15,,0.35,0.32,0.16,0.3,0.5,0.5,0,0,0,,,,,0.25,,,,,,,50.7277,24.1645,3.0.257
1.2,fuelbed_31413.xml,31413,"Mesic upland 21-40 yr old long-needle pine late-stage herbicide application, 1-3 yr mFRI",7.9254,6.8313,12113.5322,245.7185,8867.8496,2297.3237,702.6401,12,67.9705,93.579,203,38.6603,86.4718,4.2021,4.4182,7321.502,203.7353,4117.8027,2297.3237,702.6401,10,56.1778,94.0033,162,46.1769,142.5212,632,5.6304,8.8049,5.6304,5.2273,2.7382,4.8583,0,1.5305,1.8423,1.1601,0.3087,0.3736,2,2,0.1833,0.0417,0.6843,5,80,50,65,0.2594,,,0.9171,,,,,,,0.5,0.2312,,,0,2,,2.17,1.02,3.5,2.75,1.38,1.38,,,,,,,,2,,,1.5,,,,19.1171,3.7742,3.0.257
